ID;Datetime;Likes;Content
1585445277451755520;2022-10-27 01:36:24+00:00;1206;"Selamat pagi sahabat. Jangan lupa sarapan sebelum mengejar harapan. 

Saran saya untuk sahabat sekalian, dimusih hujan ini tambahkan kunyit, bawang putih, jahe, bawang merah mentah disetiap makan untuk menjaga kesehatan. 

Selamat membangun negeri! https://t.co/nxvo7mka7K"
1585204257695084544;2022-10-26 09:38:41+00:00;19;@HuseinBooy @Kemhan_RI Aamiin. Semoga kita semua selalu diberi kesehatan dan kelancaran dalam setiap usaha kita.
1585202789256663040;2022-10-26 09:32:51+00:00;225;Negara Palestina diawal kemerdekaan Republik Indonesia  tidak hanya sekedar mengakui, tidak sekedar mendukung tetapi berperan aktif meningkatkan pengakuan negara-negara arab atas kemerdekaan Republik Indonesia. Kebaikan yang akan selalu diingat oleh seluruh bangsa Indonesia. https://t.co/2RDfDuh0XO
1585202613670514689;2022-10-26 09:32:09+00:00;278;Kebanggaan bagi saya menyambut perdana menteri dari sebuah negara yang berjasa besar, yang membantu negara kita disaat susah, disaat butuh pengakuan kemerdekaan. https://t.co/w0TPCrgP15
1585202379703881728;2022-10-26 09:31:13+00:00;792;Alhamdulillah hari ini kedatangan Perdana Menteri Palestina Dr. Mohammad Ibrahim Shtayyeh di Kantor @Kemhan_RI https://t.co/Axp2m10Pd6
1584156986068766720;2022-10-23 12:17:12+00:00;14;@SecDef Thank you @SecDef for the honor that you have given myself and my delegation,Your Excellency. We are committed to enhance Indonesia-USA friendship and strategic cooperation.
1583714038755651584;2022-10-22 06:57:05+00:00;84;"Selamat Hari Santri Nasional. 
""Berdaya Menjaga Martabat Kemanusiaan""."
1583713921751318528;2022-10-22 06:56:37+00:00;100;Pesan Hadratus Syekh KH. Hasyim Asy’ari, jangan jadikan perbedaan pendapat sebagai sebab perpecahan dan permusuhan. Karena itu merupakan kejahatan besar yang bisa meruntuhkan bangunan masyarakat dan menutup pintu kebaikan di penjuru mana saja.
1583713430417985536;2022-10-22 06:54:40+00:00;42;Peran penting para santri mempertahankan cita-cita perjuangan tidak boleh berhenti. Santri harus selalu mampu menjadi pilar penting dalam kemajuan bangsa, menyebarkan pesan damai dalam bingkai persatuan dan kesatuan, seperti pesan Hadratus Syekh KH. Hasyim Asy’ari.
1583712831437910016;2022-10-22 06:52:17+00:00;47;Mereka para santri bergerak bersama-sama melawan ancaman sekutu dalam mempertahankan kemerdekaan kedaulatan NKRI, Hubbul Wathon Minal Iman.
1583712724051103744;2022-10-22 06:51:52+00:00;556;77 tahun silam, seruan jihad fiisabillah dari Hadratus Syekh KH. Hasyim Asy’ari menggema. Resolusi Jihad yang mampu menggetarkan jiwa dan hati para santri di pelosok nusantara. https://t.co/1IpakmxLzO
1583620819393003520;2022-10-22 00:46:40+00:00;7;@mirendraya_PS @RosanRoeslani @IndonesiainDC Aamiin.
1583618296380678144;2022-10-22 00:36:38+00:00;16;@Yo_isoo @RosanRoeslani @IndonesiainDC Tambahin pecel, makin enak.
1583616918572871680;2022-10-22 00:31:10+00:00;406;Terima kasih oleh-oleh peyek Philadelphia pak Dubes @RosanRoeslani Enak sekali rasanya. Semoga pak Dubes dan rekan-rekan @IndonesiainDC selalu diberi kesehatan, kelancaran dan kesuksesan dalam menjalankan tugas yang diberikan. Aamiin. https://t.co/ynupgfJk2m
1582235435920523265;2022-10-18 05:01:39+00:00;890;Terima kasih sahabat-sahabat sekalian atas ucapan di hari ulang tahun saya. Semoga kita semua selalu diberikan kesehatan dan selalu dalam lindungan Tuhan Yang Maha Esa dalam pengabdiannya kepada tanah air dan bangsa.
1582234103448887296;2022-10-18 04:56:21+00:00;51;@suhartono_sp @aniesbaswedan Old soldier never die, and they never fade away. They only go when The Almighty call them. 🇮🇩🇮🇩🇮🇩
1582233415478190082;2022-10-18 04:53:37+00:00;316;@aniesbaswedan Aamiin. Terima kasih atas ucapan dan do’anya. Insya  Allah selama hayat masih dikandung badan akan selalu setia dan sedia memberikan yang terbaik bagi rakyat Indonesia.
1582231659079823362;2022-10-18 04:46:38+00:00;15;@cakimiNOW @Gerindra Aamiin. Terima kasih atas ucapan dan do’anya gus @cakimiNOW
1582230605286191104;2022-10-18 04:42:27+00:00;5;@PrasetyoEdi_ Aamiin. Terima kasih atas ucapan dan doanya. Semoga pak @PrasetyoEdi_ selalu dilancarkan dan diberi kemudahan dalam menjalankan tugas keseharian.
1578674547473010694;2022-10-08 09:11:57+00:00;143;Selamat Memperingati Maulid Nabi Muhammad SAW, semoga kita senantiasi meneladani sifat, perbuatan yang telah dicontohkan beliau dan mampu menjadi umatnya yang patuh atas perintah Allah SWT.
