id,dateTime,likes,content,clean_text,clean_text_stem
1579698322176344064,2022-10-11 05:00:04+00:00,6198,"Bersilaturahmi ke komunitas Hindu di Jakarta sekaligus meresmikan Grha Sabha Adhitya di Rawamangun, Jakarta Timur.

Lima tahun kita kerja bersama dalam ikatan persahabatan. Kami menyampaikan pamit sebagai Gubernur DKI Jakarta, tapi silaturahmi tidak akan pernah putus. https://t.co/pZbYwfrkTb",bersilaturahmi komunitas hindu jakarta meresmikan grha sabha adhitya rawamangun jakarta timur tahun ikatan persahabatan meny aikan pamit gubernur dki jakarta silaturahmi putus,silaturahmi komunitas hindu jakarta resmi grha sabha adhitya rawamangun jakarta timur tahun ikat sahabat meny aikan pamit gubernur dki jakarta silaturahmi putus
1579321195773984768,2022-10-10 04:01:30+00:00,7631,"Alhamdulillah, kita bersyukur dan bangga, ikhtiar panjang itu tuntas. Meresmikan tiga Ruang Limpah Sungai, yakni RLS Lebak Bulus, RLS Brigif, dan RLS Pondok Ranggon. #RuangLimpahSungai adalah solusi berbasis alam, utk mengurangi beban di kawasan hilir sungai.

#JakartaKotaGlobal https://t.co/BEO8nC7QY0",alhamdulillah bersyukur bangga ikhtiar tuntas meresmikan ruang limpah sungai rls lebak bulus rls brigif rls pondok ranggon solusi berbasis alam mengurangi beban kawasan hilir sungai,alhamdulillah syukur bangga ikhtiar tuntas resmi ruang limpah sungai rls lebak bulus rls brigif rls pondok ranggon solusi bas alam kurang beban kawasan hilir sungai
1579021861727637504,2022-10-09 08:12:03+00:00,3105,"Alhamdulillah, melalui Tarif Integrasi Transportasi JakLingko, kini warga Jakarta lebih mudah dalam melakukan pembayaran di berbagai moda transportasi publik.

#JakartaKotaGlobal
#JakLingko @PT_Transjakarta @mrtjakarta @lrtjkt 
#TarifIntegrasi
#CumaCeban
https://t.co/9cjPmIByZd",alhamdulillah tarif integrasi transportasi jaklingko warga jakarta mudah pembayaran moda transportasi publik,alhamdulillah tarif integrasi transportasi jaklingko warga jakarta mudah bayar moda transportasi publik
1578611607243878400,2022-10-08 05:01:51+00:00,3593,"Alhamdulillah, ujian lima bulan lalu, menjadi pengantar untuk mendapat hunian yg lebih baik bagi warga Kampung Gembrong.

#KampungGembiraGembrong menjadi bukti kita bisa menata kampung di kawasan urban yg indah, modern, dan ramah lingkungan.

#JakartaKotaGlobal
#BaznasBazisDKI https://t.co/kgYCCSTuEC",alhamdulillah ujian pengantar hunian warga ung gembrong bukti menata ung kawasan urban indah modern ramah lingkungan,alhamdulillah uji antar huni warga ung gembrong bukti tata ung kawasan urban indah modern ramah lingkung
1578602188904898560,2022-10-08 04:24:25+00:00,5169,"Selamat memperingati Maulid Nabi Muhammad saw 1444 H. 

Semoga kita dapat terus meneladani sifat-sifat Rasulullah dalam berbagai aspek kehidupan dan senantiasa berbagi kebaikan, untuk mencapai kebahagiaan di dunia dan akhirat.

#MaulidNabi1444H https://t.co/8LqclRzCiJ",selamat memperingati maulid nabi muhammad saw semoga meneladani sifatsifat rasulullah aspek kehidupan senantiasa berbagi kebaikan mencapai kebahagiaan dunia akhirat,selamat ingat maulid nabi muhammad saw moga teladan sifatsifat rasulullah aspek hidup senantiasa bagi baik capai bahagia dunia akhirat
1578543258304552960,2022-10-08 00:30:15+00:00,5014,"Selamat pagi dari Kampung Gembira Gembrong!

Semoga hari teman-teman secerah warna-warni di Kampung Gembira Gembrong.

#JakartaKotaGlobal
#KampungGembiraGembrong
#BaznasBazisDKIJakarta https://t.co/SgTkdvNqF6",selamat pagi ung gembira gembrong semoga temanteman secerah warnawarni ung gembira gembrong,selamat pagi ung gembira gembrong moga temanteman cerah warnawarni ung gembira gembrong
1578399780870311936,2022-10-07 15:00:07+00:00,2702,"Alhamdulillah, hari ini bersilaturahmi ke keluarga besar DPP Demokrat. Terima kasih atas sambutan hangat Mas @AgusYudhoyono dan teman-teman Partai Demokrat.

Insya Allah ini menjadi awalan baru, memperkuat ikhtiar kita untuk bisa sama-sama membuat Indonesia jadi lebih baik. https://t.co/5w7wKtKI0A https://t.co/vmSSOV6rPN",alhamdulillah bersilaturahmi keluarga dpp demokrat terima kasih sambutan hangat mas temanteman partai demokrat insya allah awalan memperkuat ikhtiar samasama indonesia,alhamdulillah silaturahmi keluarga dpp demokrat terima kasih sambut hangat mas temanteman partai demokrat insya allah awal kuat ikhtiar samasama indonesia
1578335599286571008,2022-10-07 10:45:05+00:00,3859,"Keberagaman adalah anugerah Tuhan Yang Maha Esa, persatuan adalah hasil upaya manusia.

Bersilaturahmi ke Persekutuan Gereja-Gereja Pentakosta Indonesia (PGPI). Terima kasih telah berkerja bersama, saling menjaga dan menguatkan rasa kesetaraan, kebersamaan dan persahabatan. https://t.co/4o09Esj5y6",keberagaman anugerah tuhan maha esa persatuan hasil upaya manusia bersilaturahmi persekutuan gerejagereja pentakosta indonesia pgpi terima kasih berkerja menjaga menguatkan kesetaraan kebersamaan persahabatan,agam anugerah tuhan maha esa satu hasil upaya manusia silaturahmi sekutu gerejagereja pentakosta indonesia pgpi terima kasih kerja jaga kuat tara sama sahabat
1578295415304118272,2022-10-07 08:05:24+00:00,383,"Kami bersyukur bisa bekerja sama dengan Ibu/ Bapak dalam menghadirkan rasa keadilan, kekeluargaan, kebersamaan, dan kesatuan warga kota Jakarta.

#KeuskupanAgungJakarta
#JakartaKotaGlobal

https://t.co/Nsc7KUXVmD",bersyukur menghadirkan keadilan kekeluargaan kebersamaan kesatuan warga kota jakarta,syukur hadir adil keluarga sama satu warga kota jakarta
1578295408349962241,2022-10-07 08:05:23+00:00,3738,"Bersilaturahmi ke Keuskupan Agung Jakarta, berkesempatan untuk bisa mendengar lebih dalam kisah Katedral dan perjalanan sejarah umat Katolik di Indonesia. Sekaligus ngobrol agak panjang dengan Kardinal Ignatius Suharyo dan teman-teman KAJ. https://t.co/jpHITgfKhD",bersilaturahmi keuskupan agung jakarta berkesempatan mendengar kisah katedral perjalanan sejarah umat katolik indonesia ngobrol kardinal ignatius suharyo temanteman kaj,silaturahmi uskup agung jakarta sempat dengar kisah katedral jalan sejarah umat katolik indonesia ngobrol kardinal ignatius suharyo temanteman kaj
